"","Name","Year_drafted","GP","MIN","PTS","FG_made","FGA","FG_percent","TP_made","TPA","TP_percent","FT_made","FTA","FT_percent","OREB","DREB","REB","AST","STL","BLK","TOV","Yrs","Target"
"1","Charlie Sitton",1984,43,7.1,2.1,0.9,2.2,41.5,0,0,0,0.3,0.6,52,0.6,0.8,1.4,0.6,0.2,0.1,0.4,1,0
"2","Bryan Warrick",1982,43,16.9,4,1.5,4,38,0,0.1,0,1,1.3,73.7,0.3,1.3,1.6,2.9,0.5,0.2,1.6,4,0
"3","Jordan Crawford",2010,42,24.5,11.7,4.6,11.9,38.4,0.8,3,25.8,1.7,2,86.9,0.7,1.8,2.5,2.8,0.9,0.1,2,4,0
"4","Travis Hansen",2003,41,12.4,3,1.1,3.2,35.4,0.2,0.7,30,0.5,0.7,81.5,0.7,1,1.7,0.5,0.2,0.2,0.4,1,0
"5","Daniel Ewing",2005,66,14.7,3.8,1.5,3.9,38,0.3,1.2,28.2,0.5,0.7,78.3,0.3,0.9,1.3,1.3,0.6,0.1,0.9,2,0
"6","Keith Smith",1986,42,11,3.3,1.4,3.6,38,0.1,0.2,33.3,0.5,0.7,75,0.3,0.5,0.8,1,0.6,0.1,0.7,1,0
"7","Rick Calloway",1990,64,10.6,3.2,1.2,3,39.1,0,0,0,0.9,1.2,69.6,0.4,0.8,1.2,1,0.3,0.1,0.8,1,0
"8","Bill Curley",1994,53,11.2,2.7,1.1,2.5,43.3,0,0,0,0.5,0.7,75,1,1.3,2.3,0.5,0.4,0.4,0.5,5,0
"9","Craig Shelton",1980,55,10.7,4.3,1.8,4,45.7,0,0,0,0.6,1.1,60.3,1.1,1.4,2.5,0.5,0.3,0.1,1.1,2,0
"10","Dee Brown",2006,49,9.2,1.9,0.7,2,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,2,0
"11","Marlon Garnett",1998,24,8.5,2.1,0.6,2.1,29.4,0.3,1,26.1,0.6,0.8,75,0.1,0.8,0.9,0.8,0.2,0,0.5,1,0
"12","Bubba Wells",1997,39,10.1,3.3,1.2,3,41.4,0,0.2,16.7,0.8,1.1,72.1,0.6,1.2,1.7,0.9,0.4,0.1,0.8,1,0
"13","Billy Reid",1980,59,10.1,3.2,1.4,3.1,45.4,0,0.1,0,0.4,0.7,56.4,0.5,0.6,1,1.2,0.6,0.1,1.3,1,0
"14","Bruce Flowers",1982,53,13.2,4.9,2.1,3.9,53.4,0,0,0,0.8,1,77.4,1.3,2.1,3.4,0.9,0.4,0.2,0.8,1,0
"15","Andrae Patterson",1998,35,8.1,3.3,1.2,2.8,44.3,0,0.1,0,0.8,1,77.8,0.9,1,1.9,0.4,0.5,0.2,0.6,2,0
"16","Cal Bowdler",1999,46,9.2,2.7,1.1,2.5,42.6,0,0,0,0.5,0.8,63.2,0.5,1.4,1.8,0.3,0.3,0.2,0.5,3,0
"17","Kenny Fields",1984,51,10.5,3.8,1.6,3.7,44,0,0,0,0.5,0.7,75,0.8,0.8,1.6,0.7,0.2,0.2,0.6,4,0
"18","Peter Thibeaux",1984,51,9,4.5,1.8,3.8,48.2,0,0,0,0.8,1.3,64.2,0.6,0.8,1.4,0.3,0.2,0.3,0.7,2,0
"19","Mark Davis",1995,57,10,3.3,1,2.6,36.9,0.1,0.2,30.8,1.3,2,63.8,1,1.2,2.2,0.8,0.7,0.4,1.2,5,0
"20","Bart Kofoed",1987,36,6.3,1.3,0.5,1.3,37.5,0.1,0.2,28.6,0.2,0.4,61.5,0.1,0.3,0.4,0.6,0.2,0,0.5,5,0
"21","Shelton Jones",1988,51,13.4,4.8,1.8,4.1,44.5,0,0,0,1.1,1.6,72.5,0.6,1.6,2.2,0.8,0.4,0.3,0.9,1,0
"22","Andy Toolson",1990,47,10,2.9,1.1,2.6,40.3,0.3,0.7,37.5,0.5,0.7,75.8,0.7,0.7,1.4,0.7,0.3,0,0.5,2,0
"23","David Rivers",1988,47,9.4,2.9,1,2.6,40.2,0,0.1,16.7,0.7,0.9,83.3,0.3,0.6,0.9,2.3,0.5,0.2,1.3,3,0
"24","Sam Worthen",1980,64,14.8,3.7,1.5,3,49.5,0,0.1,0,0.7,0.9,75,0.3,1.5,1.8,1.8,0.9,0.1,1.4,2,0
"25","Adam Morrison",2006,78,29.8,11.8,4.6,12.1,37.6,1.1,3.3,33.7,1.5,2.2,71,0.7,2.3,2.9,2.1,0.4,0.1,1.7,3,0
"26","Darnell Mee",1993,38,7.5,1.9,0.7,2.3,31.8,0.1,0.6,20.8,0.3,0.7,44.4,0.4,0.5,0.9,0.4,0.4,0.3,0.5,2,0
"27","Josh Harrellson",2011,37,14.6,4.4,1.7,4,42.3,0.5,1.6,33.9,0.4,0.7,61.5,1.3,2.6,3.9,0.3,0.6,0.5,0.5,3,0
"28","Kevin Brooks",1991,37,7.3,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81,0.4,0.7,1.1,0.3,0.2,0.1,0.5,3,0
"29","Mustafa Shakur",2010,22,7.2,2.3,1,2.7,35.6,0,0.5,10,0.4,0.7,53.3,0.3,0.7,1,1.1,0.2,0.1,0.8,2,0
"30","Courtney Alexander",2000,65,21.3,9.5,3.7,8.8,41.7,0.3,0.7,37,1.9,2.3,82,0.6,1.6,2.2,1,0.7,0.1,1.1,3,0
"31","Patrick Ewing",1985,50,35.4,20,7.7,16.3,47.4,0,0.1,0,4.5,6.1,73.9,2.5,6.5,9,2,1.1,2.1,3.4,1,0
"32","Mike Peplowski",1993,55,12.1,3.2,1.4,2.6,53.9,0,0,0,0.4,0.8,54.5,0.9,2.2,3.1,0.4,0.3,0.5,0.6,3,0
"33","Dwayne Morton",1994,41,9.6,4.1,1.2,3.1,38.8,0.2,0.6,36,1.4,2.1,68.2,0.5,0.9,1.4,0.4,0.3,0.4,0.7,1,0
"34","Tierre Brown",2001,40,10.1,3.1,1.2,2.9,42.6,0.1,0.3,33.3,0.5,0.7,75,0.3,0.8,1.1,1.8,0.5,0.1,1,4,0
"35","Leon Powe",2006,63,11.4,4.2,1.3,2.8,44.6,0,0,0,1.7,2.3,73.6,1.5,1.9,3.4,0.2,0.2,0.3,0.8,5,0
"36","Acie Earl",1993,74,15.5,5.5,2,5,40.6,0,0,0,1.5,2.2,67.5,1.1,2.2,3.3,0.2,0.3,0.7,1,4,0
"37","Howard Carter",1983,55,12.5,6.2,2.6,5.7,45.9,0.1,0.3,26.3,0.9,1.1,77,0.7,0.9,1.6,1.3,0.3,0.1,0.8,2,0
"38","Michael Anderson",1988,36,20.3,5.7,2,4.9,41.7,0,0.2,14.3,1.6,2.3,69.5,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1,0
"39","Anthony Jones",1986,65,13.2,5,2,5,41.3,0.1,0.3,35,0.8,1,76.9,0.6,1,1.6,1.1,0.7,0.3,0.8,3,0
"40","Kevin Burleson",2005,39,8.7,1.8,0.6,2.3,25,0.3,1.4,18.5,0.4,0.4,94.1,0.1,0.6,0.7,1.2,0.7,0.1,0.6,1,0
"41","Dave Batton",1982,54,10.3,3.3,1.6,3.5,44.5,0,0.1,0,0.1,0.3,47.1,0.8,1.4,2.2,0.5,0.3,0.2,0.5,2,0
"42","Bernard Thompson",1984,59,9.1,3.3,1.3,3.6,37.3,0,0.1,0,0.7,0.9,76.5,0.6,0.7,1.3,0.9,0.5,0.2,0.6,5,0
"43","Rickey Williams",1982,44,7.9,3.3,1.3,3.1,41.5,0,0.1,0,0.8,1.2,66,0.3,0.5,0.9,0.8,0.5,0.1,0.9,1,0
"44","Charles Bradley",1981,51,6.6,3,1.1,2.4,45.1,0,0,0,0.8,1.2,67.7,0.2,0.5,0.7,0.4,0.3,0.1,0.7,3,0
"45","John Shasky",1988,65,14.5,5.5,1.9,3.8,48.8,0,0,0,1.8,2.6,68.9,1.5,2.1,3.6,0.3,0.2,0.2,0.7,3,0
"46","Charles Jenkins",2011,51,17.5,5.8,2.5,5.7,44.7,0.1,0.4,15,0.7,0.8,87.2,0.2,1.2,1.3,3.3,0.7,0.1,1.2,2,0
"47","Devin Durrant",1984,59,12.8,5.1,1.9,4.6,41.6,0,0.1,0,1.2,1.7,70.6,0.8,1.3,2.1,1.4,0.3,0.2,1.3,2,0
"48","Terence Stansbury",1984,74,17.3,7.1,2.8,6.2,45.9,0.1,0.3,16,1.4,1.7,81,0.5,1,1.5,1.7,0.6,0.2,1.1,3,0
"49","Steve Harris",1985,57,8.5,4.5,1.8,4.1,44.2,0,0.1,20,0.9,0.9,92.6,0.4,0.6,1,0.9,0.4,0.1,0.6,5,0
"50","Charles Jones",1984,78,20.1,8.4,3,5.8,52,0,0.1,0,2.3,3.6,64.8,1.8,3.3,5.1,1.6,0.6,0.8,1.8,4,0
"51","John Douglas",1981,64,16.1,7,2.8,6.1,46.5,0.3,0.9,30.5,1,1.6,65.7,0.4,1,1.4,2.3,0.8,0.1,1.4,2,0
"52","Lester Hudson",2009,25,5.2,2.3,0.8,2.1,39.6,0.2,0.6,31.3,0.4,0.5,84.6,0.3,0.4,0.7,0.5,0.3,0.1,0.6,4,0
"53","Clark Kellogg",1982,81,34.1,20.1,8.4,17.5,47.9,0,0.2,22.2,3.2,4.3,74.1,4.2,6.4,10.6,2.8,1.7,0.5,2.7,5,0
"54","Marshon Brooks",2011,56,29.4,12.6,4.9,11.4,42.8,0.8,2.7,31.3,2,2.6,76.4,1.3,2.3,3.6,2.3,0.9,0.3,2.1,3,0
"55","Brian Davis",1993,68,5.5,1.9,0.6,1.9,31.7,0,0,33.3,0.7,1,73.5,0.3,0.5,0.8,0.3,0.2,0.1,0.3,1,0
"56","Khalid El-Amin",2000,50,18.7,6.3,2.3,6.2,37,0.6,1.7,33.3,1.1,1.4,77.8,0.4,1.2,1.6,2.9,1,0,1.1,1,0
"57","Travis Mays",1990,64,33.5,14.3,4.6,11.3,40.6,1.1,3.1,36.5,4,5.2,77,0.8,1.9,2.8,4,1.3,0.2,2.5,3,0
"58","Chris Corchiani",1991,51,14.5,5,1.5,3.8,39.9,0.2,0.7,27,1.8,2,87.5,0.4,1.2,1.5,2.8,0.9,0,1.4,3,0
"59","Ralph Lewis",1987,50,6.2,1.7,0.5,1.7,31,0,0,0,0.6,1,60.4,0.3,0.7,1,0.3,0.3,0.1,0.4,3,0
"60","James Singleton",2005,59,12.8,3.4,1.3,2.6,51,0.2,0.3,50,0.7,0.8,78,1.1,2.3,3.3,0.5,0.3,0.4,0.5,5,0
"61","Richard Dumas",1992,48,27.5,15.8,6.3,12,52.4,0,0.1,33.3,3.2,4.5,70.7,2.1,2.6,4.6,1.3,1.8,0.8,1.9,3,0
"62","Manny Harris",2010,54,17.3,5.9,2,5.4,37.4,0.6,1.7,37,1.3,1.7,76.3,0.7,1.9,2.6,1.6,0.6,0.1,1.2,3,0
"63","John Stroeder",1987,41,6.6,1.9,0.7,1.9,36.7,0,0,0,0.5,0.7,66.7,0.6,1.1,1.7,0.5,0.1,0.3,0.6,2,0
"64","Ryan Lorthridge",1994,37,18.2,7.4,2.9,6,47.5,0.1,0.4,21.4,1.5,2.4,64.8,0.6,1.3,1.9,2.7,0.8,0,1.5,1,0
"65","Bill Martin",1985,66,10.5,5,2.2,4.5,48,0,0.1,0,0.7,0.8,85.2,0.6,0.9,1.5,0.8,0.3,0.1,0.9,3,0
"66","Orien Greene",2005,80,15.4,3.2,1.3,3.2,39.5,0.1,0.5,22.5,0.6,0.9,66.2,0.5,1.4,1.8,1.6,1,0.1,1.4,4,0
"67","Willie White",1984,39,6,3.3,1.3,3.2,41.9,0.1,0.3,36.4,0.5,0.8,67.7,0.4,0.5,0.9,0.7,0.1,0.1,0.8,2,0
"68","Fred Cofield",1985,45,10.4,3.7,1.7,4.1,40.8,0.1,0.3,20,0.3,0.4,60,0.1,0.9,1,1.8,0.4,0.1,1.1,2,0
"69","Cory Blackwell",1984,60,9.2,3.4,1.5,4,36.7,0,0,0,0.5,0.9,50.9,0.7,0.9,1.6,0.4,0.4,0.1,0.7,1,0
"70","Steve Stipanovich",1983,81,30,12,4.8,10.1,48,0,0.2,18.8,2.3,3,75.3,1.4,5.5,6.9,2.1,0.9,0.8,2,5,0
"71","Chris Singleton",2011,66,21.7,4.6,1.8,4.7,37.2,0.7,1.9,34.6,0.5,0.7,68.2,0.7,2.9,3.5,0.7,1.1,0.5,0.6,3,0
"72","Brandon Hunter",2003,36,11.3,3.5,1.5,3.2,45.7,0,0.1,0,0.5,1.2,44.2,1.4,1.9,3.3,0.5,0.4,0,0.6,2,0
"73","Roshown McLeod",1998,34,10.2,4.8,1.8,4.8,38,0,0.3,10,1.1,1.3,82.2,0.4,1.1,1.5,0.4,0.1,0,0.7,3,0
"74","Walter Berry",1986,63,25.2,15.9,6.5,12.2,53.1,0,0,0,3,4.6,64.9,2.2,2.7,4.9,1.7,0.6,0.6,2.4,3,0
"75","Ed Rains",1981,49,13,3.9,1.6,3.6,43.5,0,0,0,0.8,1.3,59.4,0.8,0.9,1.6,0.8,0.4,0,0.5,2,0
"76","Jonny Flynn",2009,81,28.9,13.5,4.9,11.8,41.7,1,2.7,35.8,2.8,3.3,82.6,0.3,2.1,2.4,4.4,1,0,2.9,3,0
"77","Bill Garnett",1982,75,18.8,6.3,2.3,4.3,53.3,0,0,0,1.7,2.3,74.1,1.9,3.5,5.4,1.4,0.6,0.9,1.1,4,0
"78","Cedric Henderson",1997,82,30.8,10.1,4.2,8.8,48,0,0,0,1.7,2.3,71.6,0.9,3.1,4,2,1.2,0.6,2,5,0
"79","Will Solomon",2001,62,14.1,5.2,1.8,5.3,34.1,0.7,2.6,28.4,0.8,1.2,67.1,0.2,0.9,1.1,1.5,0.6,0.1,1,2,0
"80","Kevin Pritchard",1990,62,12.5,3.9,1.4,3.7,38.4,0.1,0.5,16.1,1,1.2,80.5,0.3,0.8,1,1.3,0.5,0.1,0.9,4,0
"81","Randy White",1989,55,12.9,4.3,1.7,4.6,36.9,0,0.3,7.1,0.9,1.6,56.2,1.4,1.7,3.1,0.4,0.4,0.1,0.8,5,0
"82","Nolan Smith",2011,44,12.3,3.8,1.5,4.1,37.2,0.3,1,28.9,0.5,0.6,71.4,0.4,0.9,1.3,1.4,0.4,0.1,0.9,2,0
"83","Jamie Watson",1994,60,11.2,3.3,1.3,2.5,50,0.1,0.3,26.3,0.6,0.9,67.9,0.3,1,1.2,1,0.6,0.2,0.8,4,0
"84","Jeff Taylor",1982,44,17.6,3.6,1.5,3.6,40,0,0,0,0.7,1,65.2,0.6,1.2,1.8,2.5,0.9,0.3,1.4,2,0
"85","Mike Williams",1989,21,4.9,0.7,0.3,0.9,33.3,0,0,0,0.1,0.3,50,0.2,0.9,1.1,0.1,0.1,0.3,0.1,1,0
"86","A.J. English",1990,70,20.6,8.8,3.6,8.2,43.9,0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,2.1,2.5,0.4,0.2,1.6,2,0
"87","Javaris Crittenton",2007,50,13.6,5.6,2,4.7,42.1,0.2,0.7,27,1.4,2.1,69.2,0.5,1.7,2.2,1,0.4,0,1.1,2,0
"88","Greg Sutton",1991,67,9,3.7,1.4,3.6,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0.7,1.4,0.4,0.1,1,3,0
"89","Vincent Yarbrough",2002,59,23.4,6.9,2.8,7.3,39.3,0.4,1.3,26.9,0.8,1.1,79,0.6,2.1,2.7,2.2,1,0.6,1.4,1,0
"90","Winston Bennett",1989,55,18,6.1,2.5,5.2,47.9,0,0,0,1.2,1.7,66.7,1.5,1.9,3.4,1,0.4,0.2,1.1,3,0
"91","Rich King",1991,40,5.3,2.2,0.7,1.8,38,0,0,0,0.9,1.1,75.6,0.5,0.7,1.2,0.3,0.1,0.1,0.5,4,0
"92","Quincy Pondexter",2010,66,11.1,2.8,1.1,2.7,40.6,0.3,0.8,36,0.4,0.5,70.6,0.3,1,1.3,0.4,0.3,0.1,0.2,5,0
"93","Josh Grant",1993,53,7.2,3,1.1,2.8,40.4,0.3,1.2,27.9,0.4,0.5,75.9,0.5,1.2,1.7,0.5,0.3,0.1,0.6,1,0
"94","Billy Donovan",1987,44,8.3,2.4,1,2.5,40.4,0,0.2,0,0.4,0.5,81,0.1,0.5,0.6,2,0.4,0,0.9,1,0
